Chrom	Start	End	type	NameCN	NameEN	Clinical_Synopsis	Reference
16	21500741	30188533	deletion		16p11.2-p12.2 microdeletion syndrome	Abnormality of the face/Pointed chin/Intellectual disability/Feeding difficulties in infancy	
16	14892827	16392827	duplication		16p13.11 recurrent microduplication (neurocognitive disorder susceptibility locus)   		
16	21935203	22455963	deletion		Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	Microcephaly/Delayed speech and language development/Intellectual disability	
16	14892827	16392827	deletion		16p13.11 recurrent microdeletion (neurocognitive disorder susceptibility locus)		
16	29595531	30188534	duplication		16p11.2 microduplication syndrome		
17	30780079	31936302	deletion		NF1-microdeletion syndrome	Coarse facial features/Hypertelorism/Cafe-au-lait spot/Neurofibromas/Intellectual disability/Abnormality of the heart	
17	150208	2685615	deletion		Miller-Dieker syndrome (MDS)	Microcephaly/Lissencephaly/Abnormality of the heart/Frontal bossing/Midface retrusion	
17	16869758	20318836	duplication		Potocki-Lupski syndrome (17p11.2 duplication syndrome)	Autism/Short attention span/Hyperactivity/Short stature	
17	36459259	37856298	deletion		RCAD (renal cysts and diabetes)	Diabetes mellitus/Abnormality of the liver/Multiple renal cysts	
17	14194598	15567589	deletion		Hereditary Liability to Pressure Palsies (HNPP)	Abnormality of the motor neurons/Motor conduction block	
17	14194598	15567589	duplication		Charcot-Marie-Tooth syndrome type 1A (CMT1A)	Pes cavus/Abnormality of the motor neurons/Impaired vibratory sensation/Hypertrophic nerve changes/Decreased motor nerve conduction velocity/Impaired pain sensation/Impaired temperature sensation/Impaired proprioception	
17	16869758	20318836	deletion		Smith-Magenis Syndrome	Stereotypic behavior/Self-mutilation/Hyperactivity/Brachydactyly syndrome/Intellectual disability/Muscular hypotonia/Hoarse voice/Sleep disturbance/Short stature	
17	45627800	46217040	deletion		17q21.31 recurrent microdeletion syndrome (Koolen de Vries syndrome)	Long face/Intellectual disability/Muscular hypotonia/Small for gestational age/Feeding difficulties in infancy	
21	25880549	26171128	duplication		Early-onset Alzheimer disease with cerebral amyloid angiopathy	Dementia/Neurofibrillary tangles/Senile plaques	
22	19022279	21098156	duplication		22q11 duplication syndrome	Telecanthus/Intellectual disability/Nasal speech	
22	1	18527801	duplication		Cat-Eye Syndrome (Type I)	Micrognathia/Preauricular skin tag/Downslanted palpebral fissures/Iris coloboma/Intellectual disability/Abnormality of the heart/Anal atresia/Short stature/Preauricular pit	
22	50607088	50749416	deletion		22q13 deletion syndrome (Phelan-Mcdermid syndrome)	Autism/Delayed speech and language development/Hyperactivity/Intellectual disability/Muscular hypotonia	
22	21562828	23380258	deletion		22q11.2 distal deletion syndrome	Abnormality of the face/Intellectual disability/Small for gestational age/Short stature	
22	19022279	21098156	deletion		22q11 deletion syndrome (Velocardiofacial / DiGeorge syndrome)	Delayed speech and language development/Nasal speech/Abnormality of the heart/Hypocalcemia/T lymphocytopenia	
X	6537771	8165154	deletion		Steroid sulphatase deficiency (STS)	Ichthyosiform abnormality of the skin	
X	499823	793142	deletion		Leri-Weill dyschondrostosis (LWD) - SHOX deletion	Radial bowing/Madelung deformity/Limited pronation/supination of forearm/Disproportionate short-limb short stature	
X	791143	907140	deletion		Leri-Weill dyschondrostosis (LWD) - SHOX deletion	Radial bowing/Madelung deformity/Limited pronation/supination of forearm/Disproportionate short-limb short stature	
X	103776510	103792618	duplication		Pelizaeus-Merzbacher disease	Nystagmus/Muscular hypotonia/Leukodystrophy/Abnormal CNS myelination	
X	154021812	154097731	duplication		Xq28 (MECP2) duplication	Delayed speech and language development/Intellectual disability/Seizures/Muscular hypotonia/Spasticity/Recurrent infections	
X	154396222	154653579	duplication		Xq28 Microduplication		
X	48476161	52374518	duplication		Xp11.22-p11.23 Microduplication		
X	53374149	53656331	duplication		Xp11.22-linked intellectual disability	Intellectual disability	
Y	22831278	25887782	deletion		AZFc	Oligospermia	
Y	18006165	23919050	deletion		AZFb	Oligospermia	
Y	17852946	25647683	deletion		AZFb+AZFc	Oligospermia	
Y	12232056	13042949	deletion		AZFa	Oligospermia	
