序号	检测项目	chr	start	end
113	Wolf-Hirschhorn syndrome(194190)	chr4	10000	4501727
114	Chromosome 4q21 deletion syndrome(613509)	chr4	76225210	88021152
115	Chromosome 4q32.1-q32.2 triplication syndrome(613603)	chr4	155521152	164521152
116	Chromosome 5q12 deletion syndrome(615668)	chr5	58895826	66695828
117	Chromosome 5q14.3 deletion syndrome Distal(612881)	chr5	82795819	98235704
118	Chromosome 6pter-p24 deletion syndrome(612582)	chr6	60000	13400232
120	Chromosome 6q24-q25 deletion syndrome(612863)	chr6	138621137	161021032
121	Chordoma susceptibility to; CHDM(215400)	chr6	164521032	171055067
122	Chromosome 7q11.23 deletion syndrome Distal(613729)	chr7	72164970	77529317
123	Chromosome 7q11.23 duplication syndrome(609757)	chr7	72164970	77529317
124	Chromosome 8q12.1-q21.2 deletion syndrome(600257)	chr8	61512559	86912229
125	Chromosome 8q22.1 deletion syndrome(608156)	chr8	93312228	98912228
126	Chromosome 8q22.1 duplication syndrome(151200)	chr8	93312228	98912228
127	Chromosome 8q24.1 deletion syndrome(150230)	chr8	117712239	127312245
128	DiGeorge syndrome 2(601362)	chr10	6641962	17341999
129	Chromosome 10q22.3-q23.3 deletion syndrome(612242)	chr10	82059756	97059757
130	Chromosome 11p11.2 deletion syndrome(601224)	chr11	43421550	48821552
131	Wagro sydrome(612469)	chr11	31021547	43421550
132	Wagro sydrome(194072)	chr11	31021547	36421550
133	Chromosome 11q deletion syndrome(147791)	chr11	114470722	134946516
134	Chromosome 11q23 deletion syndrom(188025)	chr11	110470724	121170709
135	Chromosome 14q11-q22 deletion syndrome(613457)	chr14	19000000	58066718
136	Chromosome 15q14 deletion syndrome(616898)	chr15	33692201	40092201
137	Diaphragmatic hernia congenital(142340)	chr15	89043231	94343229
138	Chromosome 15q26-qter deletion syndrom(612626)	chr15	89043231	102521392
139	Levy-Shanske syndrome(614846)	chr15	89043231	102521392
140	Chromosome 16p13.3 deletion syndrom(600273)	chr16	60000	7850002
141	Chromosome 16p deletion syndrome(141750)	chr16	60000	7850002
142	Chromosome 16q22 deletion syndrome(614541)	chr16	66633903	74133899
143	Yuan-Harel-Lupski syndrome(616652)	chr17	10703317	22199327
144	Chromosome 17q12 deletion syndrome(614527)	chr17	31827018	37956253
145	Chromosome 17q12 duplication syndrome(614526)	chr17	31827018	37956253
146	Chromosome 17q23.1-q23.2 deletion syndrom(613355)	chr17	57577361	61177361
147	Chromosome 18q deletion syndrome(601808)	chr18	18510898	78017154
