Chrom	Start	End	type	NameCN	NameEN	Clinical_Synopsis	Reference
chr4	1569197	2110236	DEL	Wolf-hirschhorn综合征	Wolf-Hirschhorn Syndrome	Wolf-hirschhorn综合征是是一种先天性畸形综合征，主要临床表征为特征性的面部外观（宽而平坦的鼻梁，高额头，小下巴等），生长和发育迟缓，智力障碍和癫痫发作等，部分患者表现出皮肤干燥，骨骼异常，牙齿缺失，唇裂等[1]。	[1] Zollino M, Stefano CD, Zampino G, et al. Genotype–phenotype correlations and clinical diagnostic criteria in Wolf-Hirschhorn syndrome[J]. American journal of medical genetics, 2000, 94(3):254-261. 
chr5	10001	12533304	DEL	Cri du Chat综合征（5p缺失）	Cri du Chat Syndrome (5p deletion)	Cri-du-chat综合征又称为猫叫综合征，主要临床表现为智力障碍，生长发育迟缓，婴儿期肌张力低下，特殊面容包括宽眼距，低耳位，小下颌，圆脸等。个体间临床表现存在差异性。Cri-du-chat综合征大部分为新发，小部分遗传自父母，且父母多为平衡易位携带者。建议医生可选择进行家系验证以核实缺失来源于家族遗传或新发。请医生结合受检者临床表现、家族史和其他检测结果综合分析。	[1] Medina M, Marinescu RC, Overhauser J, et al. Hemizygosity of δ-Catenin (CTNND2) Is Associated with Severe Mental Retardation in Cri-du-Chat Syndrome[J]. Genomics, 2000, 63(2):0-164. 
chr5	112043201	112181936	DEL	家族性腺瘤性息肉病	Familial Adenomatous Polyposis	FAP中常见的是结肠外表现，如上消化道肿瘤，骨瘤，表皮样囊肿和硬纤维瘤。	Whole-gene APC deletions cause classical familial adenomatous polyposis, but not attenuated polyposis or   multiple   colorectal adenomas.Proceedings of the National Academy of Sciences of the United States of America 2002;99;5;2954-8 
chr5	126112314	126172712	DUP	成人发病的常染色体显性遗传性脑白质营养不良	Adult-onset autosomal dominant leukodystrophy (ADLD)	16岁以后起病，病情进展缓慢，常有四肢末端感觉消失，晚期有精神和行为异常，通常导致生命的第四或第五十年死亡。	Lamin B1 duplications cause autosomal dominant leukodystrophy.Nature genetics 2006;38;10;1114-23
chr5	175724636	177052116	DEL	Sotos综合征	Sotos syndrome	从产前到儿童时期发育过度；学习困难从非常轻微到严重不等，面部特征独特，头围大，下巴尖。超过15%的病例出现相关特征，包括高龄、心脏异常、肾异常、脊柱侧凸和癫痫。	Genotype-phenotype associations in Sotos syndrome: an analysis of 266 individuals with NSD1 aberrations.American journal of human genetics 2005;77;2;193-204
chr7	72744455	74142672	DEL	Williams-Beuren综合征	Williams-Beuren Syndrome (WBS)	面部特征包括眶周丰满、鼻尖呈球状、舌尖长、口宽、嘴唇丰满、脸颊丰满和牙齿间距小。个人有轻度到中度智力障碍或学习困难，在语言短期记忆和语言方面具有相对的认知优势，但在视觉空间结构（写作、绘画、模式结构）方面则极为薄弱。独特的行为特征包括焦虑、注意力缺陷多动障碍（ADHD）和过度友好。先天性心脏病发生率为80%，其中大多数为瓣膜上主动脉瓣狭窄（SVA），少数为离散性瓣膜上肺动脉瓣狭窄。	Mutational mechanisms of Williams-Beuren syndrome deletions.American journal of human genetics 2003;73;1;131-51
chr7	72744455	74142672	DUP	7q11.23重复综合征	7q11.23 duplication syndrome	严重的表达语言延迟（尤其是句法和音位学），轻度生长迟缓，伴有轻微的面部畸形（高而宽的鼻子，短人中）。	Severe expressive-language delay related to duplication of the Williams-Beuren locus.The New England journal of medicine 2005;353;16;1694-701
chr7	96318078	96339203	DEL	分裂手/分裂足畸形1型	Split hand/foot malformation 1 (SHFM1)	手指和脚的中间裂缝，以及趾骨，掌骨和跖骨的发育不全和/或发育不全。	Split hand/split foot malformation with hearing loss: first report of families linked to the SHFM1 locus in 7q21.Clinical genetics 2001;59;1;28-36
chr8	8100055	11764629	DUP	8p23.1重复综合征	8p23.1 duplication syndrome	轻度或中度发育迟缓和/或学习困难、先天性心脏病（CHD）有不同程度的轻度畸形。行为问题、唇裂和/或腭裂、大头畸形、癫痫、注意力缺陷多动障碍（ADHD）、眼部异常、平衡问题、低血压和脑积水。低外显率。	Measurement methods and accuracy in copy number variation: failure to replicate associations of beta-defensin copy number with Crohn's disease.Human molecular genetics 2010;19;24;4930-8
chr8	8100055	11764629	DEL	8p23.1缺失综合征	8p23.1 deletion syndrome	先天性心脏病、先天性膈疝、发育迟缓和具有多动和冲动特征的行为特征。这种缺失的先天性心脏病特征可归因于GATA4基因的单倍不足。	Defensins and the dynamic genome: what we can learn from structural variation at human chromosome band 8p23.Genome research 2008;18;11;1686-97
chr8	77226464	77766239	DEL	8q21.11微缺失综合征	8q21.11 Microdeletion Syndrome	嘴角向下，上唇丘比特弓，脸颊丰满，额头高，智力障碍，小颌畸形，耳位低且突出，眼睑下垂，角膜混浊	[1]Palomares M,?Delicado A,?Mansilla E,?de Torres ML,?Vallespín E,?Fernandez L,?Martinez-Glez V,?García-Mi?aur S,?Nevado J,?Simarro FS,?Ruiz-Perez VL,?Lynch SA,?Sharkey FH,?Thuresson AC,?Annerén G,?Belligni EF,?Martínez-Fernández ML,?Bermejo E,?Nowakowska B,?Kutkowska-Kazmierczak A,?Bocian E,?Obersztyn E,?Martínez-Frías ML,?Hennekam RC?and?Lapunzina P. Characterization of a 8q21.11 microdeletion syndrome associated with intellectual disability and a recognizable phenotype. American Journal of Human Genetics, 2011, 89(2):295-301. 
chr9	140513443	140730578	DEL	9q亚端粒缺失综合征	9q subtelomeric deletion syndrome	严重的发育迟缓/学习障碍，肌张力减退，小头畸形，先天性心脏病，癫痫发作（30%）和独特的面部特征包括带有一字眉的弓形眉毛，眼距过宽，鼻短，鼻孔前倾，舌头突出且前伸向外。	[1]Stewart DR, Huang A, Faravelli F, Anderlid BM, Medne L, Ciprero K, Kaur M, Rossi E, Tenconi R, Nordenskj?ld M, Gripp KW, Nicholson L, Meschino WS, Capua E, Quarrell OW, Flint J, Irons M, Giampietro PF, Schowalter DB, Zaleski CA, Malacarne M, Zackai EH, Spinner NB and Krantz ID. Subtelomeric deletions of chromosome 9q: a novel microdeletion syndrome. American Journal of Medical Genetics Part A, 2004, 128A(4):340-351. 
chr11	31806339	32457087	DEL	WAGR 11p13缺失综合征	WAGR 11p13 deletion syndrome	肾母细胞瘤，无虹膜，泌尿生殖系统异常，生长和精神发育迟缓。	[1]Crolla JA, Cawdery JE, Oley CA, Young ID, Gray J, Fantes J and van Heyningen V.A FISH approach to defining the extent and possible clinical significance of deletions at the WAGR locus. Journal of Medical Genetics, 1997, 34(3):207-212. 
chr11	43994800	46052450	DEL	Potocki-Shaffer综合征	Potocki-Shaffer syndrome	发育迟缓，精神发育迟滞，多发性外生骨疣，顶叶孔，前囟门增大，轻微颅面畸形，眼部异常，男性生殖器异常。	[1]Wakui K, Gregato G, Ballif BC, Glotzbach CD, Bailey KA, Kuo PL, Sue WC, Sheffield LJ, Irons M, Gomez EG, Hecht JT, Potocki L and Shaffer LG. Construction of a natural panel of 11p11.2 deletions and further delineation of the critical region involved in Potocki-Shaffer syndrome. European Journal of Human Genetics, 2005, 13(5):528-540. 
chr12	1080000	1346471	DEL	12p13.33微缺失综合征	12p13.33 Microdeletion Syndrome	语言发育迟缓，智力障碍，通常与各种严重程度的精神病表现相关	[1]Thevenon J,?Callier P,?Andrieux J,?Delobel B,?David A,?Sukno S,?Minot D,?Mosca Anne L,?Marle N,?Sanlaville D,?Bonnet M,?Masurel-Paulet A,?Levy F,?Gaunt L,?Farrell S,?Le Caignec C,?Toutain A,?Carmignac V,?Mugneret F,?Clayton-Smith J,?Thauvin-Robinet C?and?Faivre L. 12p13.33 microdeletion including ELKS/ERC1, a new locus associated with childhood apraxia of speech. European Journal of Human Genetics, 2013, 21(1):82-88. 
chr12	65071919	68645525	DEL	12q14微缺失综合征	12q14 microdeletion syndrome	轻度精神发育迟滞，婴儿期发育不良，身材矮小，骨质疏松症。	[1]Menten B, Buysse K, Zahir F, Hellemans J, Hamilton SJ, Costa T, Fagerstrom C, Anadiotis G, Kingsbury D, McGillivray BC, Marra MA, Friedman JM, Speleman F and Mortier G. Osteopoikilosis, short stature and mental retardation as key features of a new microdeletion syndrome on 12q14. Journal of Medical Genetics, 2007, 44(4):264-268. 
chr15	22749354	28438266	DEL	天使综合征（1型）	Angelman syndrome (Type 1)	主要临床表现：严重的发育迟缓，严重的语言障碍，运动和平衡障碍，共济失调，具有兴奋性格和不适当快乐情绪的特定行为，部分患者表现出小头畸形，色素减少和癫痫发作。	[1]Moncla A, Malzac P, Voelckel MA, Auquier P, Girardot L, Mattei MG, Philip N, Mattei JF, Lalande M and Livet MO. Phenotype–genotype correlation in 20 deletion and 20 non-deletion Angelman syndrome patients. European Journal of Human Genetics, 1999, 7(2):131-139.  
chr15	22749354	28438266	DEL	普拉德-威利综合征综合征（1型）	Prader-Willi syndrome (Type 1)	最常见的肥胖遗传形式。婴儿期出现中枢性张力减退，喂养困难，发育不良。在1-6岁之间（通常为2-4岁），体重迅速增加，其特征是躯干肥胖，手脚较小，肢体明显肥胖，男性生殖器较小，身材矮小。通常情况下，出现食欲不振，食物囤积的现象。大多数患者轻度至中度智力障碍。行为问题可能是一个主要问题，80％有一些仪式行为（荷兰）。大多数患有PWS的成年人在成人生活中需要监督，很少有人会独立生活。男性和女性都有性腺机能减退性腺功能减退症，性活动并不常见，生育能力很少。	[1]Goldstone AP. Prader-Willi syndrome: advances in genetics, pathophysiology and treatment. Trends in Endocrinology and Metabolism, 2004, 15(1):0-20. 
chr15	23619912	28438266	DEL	普拉德-威利综合征综合征（2型）	Prader-Willi Syndrome (Type 2)	最常见的肥胖遗传形式。婴儿期出现中枢性张力减退，喂养困难，发育不良。在1-6岁之间（通常为2-4岁），体重迅速增加，其特征是躯干肥胖，手脚较小，肢体明显肥胖，男性生殖器较小，身材矮小。通常情况下，出现食欲不振，食物囤积的现象。大多数患者轻度至中度智力障碍。行为问题可能是一个主要问题，80％有一些仪式行为（荷兰）。大多数患有PWS的成年人在成人生活中需要监督，很少有人会独立生活。男性和女性都有性腺机能减退性腺功能减退症，性活动并不常见，生育能力很少。	[1]Goldstone AP. Prader-Willi syndrome: advances in genetics, pathophysiology and treatment. Trends in Endocrinology and Metabolism, 2004, 15(1):0-20. 
chr15	23619912	28438266	DEL	天使综合征（2型）	Angelman syndrome (Type 2)	主要临床表现：严重的发育迟缓，严重的语言障碍，运动和平衡障碍，共济失调，具有兴奋性格和不适当快乐情绪的特定行为，部分患者表现出小头畸形，色素减少和癫痫发作。	[1]Moncla A, Malzac P, Voelckel MA, Auquier P, Girardot L, Mattei MG, Philip N, Mattei JF, Lalande M and Livet MO. Phenotype–genotype correlation in 20 deletion and 20 non-deletion Angelman syndrome patients. European Journal of Human Genetics, 1999, 7(2):131-139.  
chr15	30910306	32445407	DEL	15q13.3微缺失综合征	15q13.3 microdeletion syndrome	主要临床表现为智力障碍如轻度至中度的学习障碍和认知功能障碍；言语障碍，如言语获取的迟缓；癫痫发作，如典型的失身发作、肌阵挛发作和全面性强直-阵挛发作；自闭症谱系障碍，包括眼神躲避、重复动作、强迫症及社交障碍；精神分裂症；行为异常包括注意力不集中、多动症、情绪障碍、侵略性和/冲动行为。其他非典型临床特征包括轻微的面部畸形如手部异常、睑裂下斜,鼻尖突出等。该综合征具有外显不全的特点。	[1]Sharp AJ,?Mefford HC,?Li K, et al. A recurrent 15q13.3 microdeletion syndrome associated with mental retardation and seizures. Nat Genet. 2008 Mar;40(3):322-8. 
chr15	74412643	75972911	DEL	15q24微缺失综合征	15q13.3 microdeletion syndrome	主要临床表现为全身发育迟缓如身材矮小; 轻度至重度（通常至少中度）智力障碍; 肌张力低下；骨骼异常如关节松弛和脊柱侧凸；手脚先天性畸形包括单侧指、近端指、上翘趾、趾并指、拇指异常如拇指近端植入；面部特征包括前发际高、眼睑下垂、眉毛稀疏、鼻梁宽阔或凹陷等；男性患者还可表现为尿道下裂和/或小阴茎等。 其他非典型临床特征包括癫痫发作；传导性和感音神经性听力丧失等。	[1]Mefford HC, Rosenfeld JA, Shur N, et al. A further case of the recurrent 15q24 microdeletion syndrome, detected by array CGH. Eur J Pediatr. 2008 Aug;167(8):903-8.[2]Klopocki E, Graul-Neumann LM, Grieben U, et al. Further clinical and molecular delineation of the 15q24 microdeletion syndrome. J Med Genet. 2012 Feb;49(2):110-8.            [3]Sharp AJ, Selzer RR, Veltman JA, et al. Characterization of a recurrent 15q24 microdeletion syndrome. Hum Mol Genet. 2007 Mar 1;16(5):567-72. 
chr15	99357970	102521392	DUP	15q26过度生长综合征	15q26 overgrowth syndrome	15q染色体过度生长综合征是一种由于远端三体和四体导致的15q26区重复或三倍化而导致的IGF1R基因剂量增加引起的过度生长综合征。该综合征主要临床表现为生长过度；学习困难；肾脏异常（发生率约为45％），包括马蹄肾，肾发育不全，肾积水，膀胱输尿管反流，多囊肾和右侧肾盂重复；面部特征如脸部长而薄、下巴和鼻子突出。该综合征在产前诊断较罕见。	[1] Chen CP, Lin YH, Au HK, et al. Chromosome 15q overgrowth syndrome: prenatal diagnosis, molecular cytogenetic characterization, and perinatal findings in a fetus with dup(15)(q26.2q26.3). Taiwan J Obstet Gynecol. 2011 Sep;50(3):359-65. 
chr16	60001	834372	DEL	ATR-16 综合征/α-地中海贫血-智力残疾综合征	ATR-16 syndrome	ATR-16 综合征，又称α-地中海贫血-智力残疾综合征，该综合征是一种伴有α珠蛋白基因在内的16p13.3的缺失综合征，其主要临床特征表现为轻度至中度的智力低下；可伴或不伴有轻度α珠蛋白生成障碍性贫血；非典型的临床特征可伴有先天性发育异常，包括眼距过宽，眼睑下垂，鼻梁扁平，马蹄形内翻足，男性生殖器官异常如尿道下裂、隐睾症等。	
chr16	3775055	3930121	DEL	Rubinstein-Taybi 综合征	Rubinstein-Taybi Syndrome	Rubinstein-Taybi 综合征是一种罕见的畸形综合征，其主要临床特征表现身材矮小；中度至重度的智力残疾；独特的面部特征包括眼睑下垂、鼻部凸起与鼻小柱、高腭弓、小下颌 、异常微笑、talon尖瓣等；其他非典型临床表现为眼睛异常如青光眼、白内障等；先天性心脏缺陷如心室和房间缺损；肾脏异常；关节松弛；皮肤出现瘢痕疙瘩；少数患者患肿瘤风险增加及行为异常如容易冲动、情绪低落等。	
chr16	14986684	16486684	DEL	16p13.11复发性微缺失综合征（神经易感区）	16p13.11 recurrent microdeletion (neurocognitive disorder susceptibility locus)	16p13.11 缺失区域涉及神经疾病易感区域，其主要临床表征为发育迟缓，智力障碍，全身性癫痫，以及面部畸形如睑裂下斜、鼻子短、低位耳、嘴巴宽、唇裂和中线缺陷等；行为异常如精神分裂症、自闭症。该区域具有外显不全的特点，在同一家族内，其携带者之间表型也可能存在差异，并且一些携带者可能完全不受影响。	[1] Ullmann R, Turner G, Kirchhoff M, et al. Array CGH identifies reciprocal 16p13.1 duplications and deletions that predispose to autism and/or mental retardation. Human mutation 2007;28;7;674-82.[2] Hannes FD, Sharp AJ, Mefford HC,, et al. Recurrent reciprocal deletions and duplications of 16p13.11: the deletion is a risk factor for MR/MCA while the duplication may be a rare benign variant.J Med Genet. 2009Apr;46(4):223-32. 
chr16	14986684	16486684	DUP	16p13.11复发性微重复综合征（神经易感区）	16p13.11 recurrent microduplication (neurocognitive disorder susceptibility locus)	16p13.11 重复区域涉及神经疾病易感区域，其主要临床表征为发育迟缓，行为异常包括注意力不集中、多动症、攻击性行为及自闭症谱系障碍；骨骼异常如颅缝早闭和多指畸形；先天性心脏缺陷。该重复区域携带者临床表型高度可变，一部分可能完全不受影响，一部分可表现出轻重不一的表型。	
chr16	21475060	29284077	DUP	16p11.2p12.2复发性微重复综合征（神经易感区）	16p11.2p12.2 microduplication syndrome	该综合征具有高度可变性，主要临床特征表现为发育和/或精神运动迟缓，尤其是语言障碍；小头畸形；轻度至中度或重度的智力障碍；行为异常包括自闭症谱系障碍，攻击性、强迫性和重复性行为；面部特征包括鼻梁凹陷或突出、上睑下垂。其他非典型临床表现为精神分裂症、抑郁、肾脏和泌尿道畸形等。	[1]Barber JC, Hall V, Maloney VK, et al. 16p11.2-p12.2 duplication syndrome; a genomic condition differentiated from euchromatic variation of 16p11.2. Eur J Hum Genet. 2013 Feb;21(2):182-9.[2] Hannes FD, Sharp AJ, Mefford HC,, et al. Recurrent reciprocal deletions and duplications of 16p13.11: the deletion is a risk factor for MR/MCA while the duplication may be a rare benign variant.J Med Genet. 2009Apr;46(4):223-32. 
chr16	21512062	30199854	DEL	16p11.2p12.2微缺失综合征 	16p11.2-p12.2 microdeletion syndrome	主要临床表征为发育迟缓如语言表达能力较差；伴有轻度的智力障碍如学习困难、认知功能障碍；社交障碍伴或不伴有孤独症谱系障碍；巨头畸形如Chiari I畸形、小脑扁桃体下疝和颅底扁平症较为常见；癫痫发作。其他非典型的临床特征为脊椎异常如脊柱侧凸，颅缝早闭及感音神经性和传导性听力丧失等。	
chr16	21200001	24200000	DEL	16p12.2微缺失综合征	16p12.2 microdeletion syndrome	主要临床特征表现为发育迟缓如身材矮小；轻度至中度的智力障碍包括认知功能障碍、语言发育迟缓；先天性心脏异常；精神及行为异常，包括狂躁症，抑郁症及精神分裂等； 癫痫。非典型临床特征还表现为听力损失，牙齿异常，肾脏及生殖系统（常见于男性）异常，唇腭/裂等。等该区域具有外显不全的特点，在同一家族内，其携带者之间表型也可能存在差异，并且一些携带者可能完全不受影响。	
chr16	21946524	22467284	DEL	16p12.1复发性微缺失综合征（神经易感区）	Recurrent 16p12.1 microdeletion (neurodevelopmental susceptibility locus)	16p12.1缺失区域涉及神经疾病易感区域，其主要临床特征表现为严重发育迟缓；智力残疾如学习和语言障碍；小头畸形包括颅面发育异常；骨骼及先天性心脏发育异常；其他非典型临床表现为癫痫发作、肌张力减退、精神和行为异常等 。	[1]Girirajan S, Rosenfeld JA, Cooper GM, et al. A recurrent 16p12.1 microdeletion supports a two-hit model for severe developmental delay. Nat Genet. 2010 Mar;42(3):203-9. 
chr16	29606852	30199855	DUP	16p11.2微重复综合征	16p11.2 microduplication syndrome	16p11.2微重复综合征的主要临床表现为语言延迟和认知障碍，其他表现包括运动迟缓，行为问题（特别是注意缺陷多动障碍），先天性异常，癫痫发作，小头畸形，且与自闭症和精神分裂症有关。该病具有不完全外显率和可变的表现度。	[1] Shinawi M, Liu P, Kang SH, et al. Recurrent reciprocal 16p11.2 rearrangements associated with global developmental delay, behavioural problems, dysmorphism, epilepsy, and abnormal head size. J Med Genet. 2010 May;47(5):332-41.[2] Weiss LA, Shen Y, Korn JM, et al. Association between microdeletion and microduplication at 16p11.2 and autism. N Engl J Med. 2008 Feb 14;358(7):667-75.[3] McCarthy SE, Makarov V, Kirov G, et al. Microduplications of 16p11.2 are associated with schizophrenia. Nat Genet. 2009 Nov;41(11):1223-7.
chr17	1	2588909	DEL	Miller-Dieker综合征 (MDS)	Miller-Dieker syndrome (MDS)	Miller-Dieker综合征 (MDS)的主要临床表现为无脑畸形，具有独特的面部特征，如有垂直犁沟且高而突出的前额、双颞狭窄、高眼压、睑裂向上、鼻梁短、鼻孔前倾、上唇倒置朱红色边缘、上唇宽而厚，有先天性心脏病、脐膨出和关节挛缩等相关异常。MDS患者通常有严重的精神障碍、癫痫，且寿命缩短。	
chr17	14097915	15470903	DUP	Charcot-Marie-tooth综合征1A型 (CMT1A)	Charcot-Marie-Tooth syndrome type 1A (CMT1A)	Charcot-Marie-tooth综合征1A型 (CMT1A)是一种脱髓鞘性周围神经病变，呈常染色体显性遗传，具有年龄依赖性的外显率和可变的表现度，主要临床表现为远端肌肉无力和萎缩，感觉丧失，足部畸形，神经传导速度慢。	
chr17	14097915	15470903	DEL	遗传性压迫易感性神经病?(?HNPP)	Hereditary?neuropathy?with?liability?to?pressure?palsies?(?HNPP)	遗传性压迫易感性神经病 (HNPP)的主要特征是反复出现局灶性压力性神经病，如腕管综合征和伴有足下垂的腓骨麻痹$^{[1]}$。该病通常在生命的第二个到第三个十年发作，在儿童时期很少出现。最常见的症状是单个神经分布中无痛性局灶性感觉丧失和肌肉无力的突然发作。这些急性局灶性症状通常是由对神经的机械应力引起的，如压迫、重复运动或受影响肢体的拉伸。常见的受累神经包括腓骨头处腓神经、肘部尺神经、腕关节正中神经、臂丛神经和桡神经。由这些单神经病引起的临床表现包括足下垂、手麻木和无力、手臂无力、食指和拇指或手侧面的感觉丧失。	[1] Chance PF, Alderson MK, Leppig KA, et al. DNA deletion associated with hereditary neuropathy with liability to pressure palsies. Cell. 1993 Jan 15;72(1):143-51. 
