tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	109461475	0	live	FRAXE	FMR2	fragile site, folic acid type, rare, fra(X)(q28) E	AF4/FMR2 family member 2 repeat instability region|AFF2 repeat instability region|FMR2 repeat instability region|FRAXE repeat instability region|fragile site, folic acid type, rare, fra(X)(q28) E repeat instability region	Xq28	X	NC_000023.11	148500602	148500743	plus	0		
9606	Homo sapiens	111674463	0	live	LOC111674463	DHS-1600, DHS-200, DHS-3.4kb, DHS-900	CFTR promoter region	CFTR -3.4 kb enhancer|CFTR promoter-proximal regulatory region		7	NC_000007.14	117476071	117480094	plus	0		
9606	Homo sapiens	106867047	0	live	LOC106867047		origin of replication upstream of MYC	c-myc origin of replication	8q24	8	NC_000008.11	127733744	127736141	plus	0		
9606	Homo sapiens	110013312	0	live	LOC110013312		BGLAP promoter region	osteocalcin promoter		1	NC_000001.11	156240844	156242266	plus	0		
9606	Homo sapiens	106728418	0	live	LOC106728418		LEP 5' regulatory region			7	NC_000007.14	128238356	128241306	plus	0		
9606	Homo sapiens	108510657	0	live	LOC108510657		Friedreich ataxia repeat instability region	FXN trinucleotide repeat instability region	9q21.11	9	NC_000009.12	69037276	69037304	plus	0		
9606	Homo sapiens	117307477	0	live	LOC117307477		CD209 promoter region	DC-SIGN promoter	19p	19	NC_000019.10	7747412	7749166	plus	0		
9606	Homo sapiens	106128904	0	live	GH-LCR		growth hormone locus control region		17q	17	NC_000017.11	63917193	63958852	plus	0		
9606	Homo sapiens	109611591	0	live	FRA16B		fragile site, distamycin A type, rare, fra(16)(q22.1)	FRA16B repeat instability region|fragile site, distamycin A type, rare, fra(16)(q22.1) repeat instability region	16q22.1	16	NC_000016.10	65321663	65323807	plus	0	136580	
9606	Homo sapiens	110283621	0	live	LOC110283621		SPP1 5' regulatory region	osteopontin promoter		4	NC_000004.12	87973468	87976881	plus	0		
9606	Homo sapiens	108663993	0	live	LOC108663993		ataxin 1 repeat instability region	ATXN1 repeat instability region|SCA1 repeat instability region|spinocerebellar ataxia type 1 repeat instability region	6p23	6	NC_000006.12	16327634	16327724	plus	0		
9606	Homo sapiens	105804841	0	live	ZRS	MFCS1, ZRS/LMBR1, pZRS	ZPA regulatory sequence	VISTA enhancer hs2496|ZPA-specific enhancer|ZRS limb enhancer|ZRS/SHH enhancer|mammal-fish-conserved-sequence 1|zone of polarizing activity regulatory sequence	7q	7	NC_000007.14	156790708	156793079	plus	0		
9606	Homo sapiens	106560211	0	live	LOC106560211		APOB 5' regulatory region	APOB liver expression regulatory region	2p	2	NC_000002.12	21041088	21049341	plus	0		
9606	Homo sapiens	107880064	0	live	LOC107880064		IVL promoter region			1	NC_000001.11	152906047	152909786	plus	0		
9606	Homo sapiens	106128905	0	live	LOC106128905	DEE	KLK3 upstream enhancer/promoter region	distal enhancer element	19q13	19	NC_000019.10	50849163	50854952	plus	0		
9606	Homo sapiens	110596866	0	live	LOC110596866		CYP7A1 5' regulatory region			8	NC_000008.11	58498446	58502041	plus	0		
9606	Homo sapiens	109951029	0	live	LOC109951029		delta-globin 5' regulatory region	HBD 5' regulatory elements|delta-globin promoter, R silencer and pyrimidine-rich region	11p15.4	11	NC_000011.10	5234433	5239383	plus	0		
9606	Homo sapiens	108663985	0	live	LOC108663985		calcium voltage-gated channel subunit alpha1 A repeat instability region	CACNA1A repeat instability region|SCA6 repeat instability region|spinocerebellar ataxia type 6 repeat instability region	19p13	19	NC_000019.10	13207859	13207898	plus	0		
9606	Homo sapiens	107548103	0	live	LOC107548103		MS32 minisatellite repeat instability region	D1S8 minisatellite repeat instability region	1q42	1	NC_000001.11	236096118	236097991	plus	0		
9606	Homo sapiens	110594336	0	live	LOC110594336		MS1 minisatellite repeat instability region	D1S7 minisatellite repeat instability region	1p35.2	1	NC_000001.11	31428806	31434663	plus	0		
9606	Homo sapiens	108660406	0	live	LOC108660406		ataxin 7 repeat instability region	ATXN7 repeat instability region|SCA7 repeat instability region|spinocerebellar ataxia type 7 repeat instability region	3p21.1-p12	3	NC_000003.12	63912685	63912716	plus	0		
9606	Homo sapiens	107963948	0	live	LOC107963948		BCR-ABL micro-breakpoint cluster region	BCR p230 Philadelphia chromosome recombination region|BCR p230 breakpoint recombination region|t(9;22)(q34;q11) micro-BCR recombination region	22q11.23	22	NC_000022.11	23312488	23312880	plus	0		
9606	Homo sapiens	109461484	0	live	LOC109461484		atrophin 1 repeat instability region	ATN1 repeat instability region|DRPLA repeat instability region|dentatorubral-pallidoluysian atrophy repeat instability region	12p13.31	12	NC_000012.12	6936717	6936775	plus	0		
9606	Homo sapiens	108167315	0	live	LOC108167315		POMC promoter region			2	NC_000002.12	25168454	25169266	plus	0		
9606	Homo sapiens	108644431	0	live	LOC108644431		myotonic dystrophy type 2 repeat instability region	CCHC-type zinc finger nucleic acid binding protein intronic repeat instability region|CNBP CCTG repeat instability region|DM2 repeat instability region	3q21	3	NC_000003.12	129172573	129172733	plus	0		
9606	Homo sapiens	108660404	0	live	LOC108660404		ataxin 10 repeat instability region	ATXN10 repeat instability region|SCA10 repeat instability region|spinocerebellar ataxia type 10 repeat instability region	22q13.31	22	NC_000022.11	45795355	45795424	plus	0		
9606	Homo sapiens	108449888	0	live	LOC108449888		PATRR22 recombination region	palindromic AT-rich repeat chromosome 22 recombination region	22q11	22							
9606	Homo sapiens	106804547	0	live	LOC106804547		origin of replication adjacent to lamin B2		19p13.3	19	NC_000019.10	2426874	2428373	plus	0		
9606	Homo sapiens	108863620	0	live	LOC108863620		STAR 5' regulatory region			8	NC_000008.11	38150925	38154354	plus	0		
9606	Homo sapiens	108449897	0	live	LOC108449897		PATRR11 recombination region	palindromic AT-rich repeat chromosome 11 recombination region	11q23	11							
9606	Homo sapiens	109951028	0	live	A-GAMMA3'E	A-gamma-e	A-gamma-globin 3' regulatory region	Agamma 3' enhancer|HBG1 3' Enh and F elements	11p15.4	11	NC_000011.10	5245527	5248345	plus	0		
9606	Homo sapiens	110673971	0	live	LOC110673971		CYP11B2 promoter			8	NC_000008.11	142917842	142919862	plus	0		
9606	Homo sapiens	109113863	0	live	LOC109113863		FGF2 promoter region			4	NC_000004.12	122825690	122827008	plus	0		
9606	Homo sapiens	111255642	0	live	LOC111255642		TNFRSF10B 5' regulatory region			8	NC_000008.11	23066410	23070123	plus	0		
9606	Homo sapiens	107133510	0	live	LOC107133510		origin of replication at HBB	beta globin IR region	11p15	11	NC_000011.10	5222166	5229620	plus	0		
9606	Homo sapiens	107982234	0	live	LOC107982234		WT1/WT1-AS bi-directional promoter region	WT1 5' proximal regulatory region		11	NC_000011.10	32430848	32437423	plus	0		
9606	Homo sapiens	110408762	0	live	LOC110408762		CYP17A1 promoter			10	NC_000010.11	102837373	102838185	plus	0		
9606	Homo sapiens	110011216	0	live	LOC110011216		paired like homeobox 2b polyalanine repeat instability region	PHOX2B polyalanine repeat instability region	4p13	4	NC_000004.12	41745975	41746028	plus	0		
9606	Homo sapiens	110006319	0	live	LOC110006319		beta-globin gene 3' regulatory region	HBB 3' enhancer|adult beta-globin 3' enhancer	11p15.4	11	NC_000011.10	5223780	5226590	plus	0		
9606	Homo sapiens	110386947	0	live	LOC110386947		CYP19A1 promoter I.1	CYP19A1 I.1 5' regulatory region|aromatase promoter I.1		15	NC_000015.10	51338521	51341006	plus	0		
9606	Homo sapiens	106780800	0	live	LOC106780800		CYP21A2 recombination region	cytochrome P450, family 21, subfamily A, polypeptide 2 recombination region	6p21.3	6	NC_000006.12	32037872	32041144	plus	0		
9606	Homo sapiens	108004539	0	live	LOC108004539		CYP21A1P recombination region	cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene recombination region	6p21.3	6	NC_000006.12	32005826	32008652	plus	0		
9606	Homo sapiens	105180392	0	live	HBB-3'HS1	3'HS1, HSVI	beta-globin 3' hypersensitive site 1	3'HS-1 regulatory sequence|hypersensitive site VI	11p15	11	NC_000011.10	5203871	5207626	plus	0		
9606	Homo sapiens	112679202	0	live	LOC112679202		ABO promoter region		9q	9	NC_000009.12	133275187	133276053	plus	0		
9606	Homo sapiens	108961161	0	live	LOC108961161		POU5F1 5' regulatory region	OCT3/4 promoter region		6	NC_000006.12	31170620	31173223	plus	0		
9606	Homo sapiens	109623491	0	live	LOC109623491		MS31A repeat instability region	D7S21 repeat instability region|minisatellite 31A repeat instability region	7p22	7	NC_000007.14	1271210	1273139	plus	0		
9606	Homo sapiens	108660405	0	live	LOC108660405		protein phosphatase 2 regulatory subunit Bbeta repeat instability region	PPP2R2B repeat instability region|SCA12 repeat instability region|spinocerebellar ataxia type 12 repeat instability region	5q32	5	NC_000005.10	146878728	146878759	plus	0		
9606	Homo sapiens	110599575	0	live	LOC110599575	PBREM	CYP2B6 promoter-proximal regulatory region	phenobarbital-responsive enhancer module (PBREM)		19	NC_000019.10	40989053	40991321	plus	0		
9606	Homo sapiens	107372315	0	live	LOC107372315		OSGEP/APEX1 bi-directional promoter region			14	NC_000014.9	20451644	20455336	plus	0		
9606	Homo sapiens	106721785	0	live	LOC106721785		BRCA2 promoter/silencer region			13	NC_000013.11	32314559	32315789	plus	0		
9606	Homo sapiens	110599585	0	live	LOC110599585		CYP2E1 5' regulatory region			10	NC_000010.11	133523651	133527458	plus	0		
9606	Homo sapiens	107988030	0	live	LOC107988030		MITF-M promoter region	MITF melanocyte specific promoter		3	NC_000003.12	69934398	69936727	plus	0		
9606	Homo sapiens	110806306	0	live	LOC110806306		telomerase RNA component (TERC) promoter			3	NC_000003.12	169764992	169765858	plus	0		
9606	Homo sapiens	110599580	0	live	LOC110599580		CYP1B1 promoter			2	NC_000002.12	38076132	38077840	plus	0		
9606	Homo sapiens	111258525	0	live	LOC111258525		NOS1 1f and 1g alternate promoter region			12	NC_000012.12	117361127	117363404	plus	0		
9606	Homo sapiens	107303343	0	live	LOC107303343		adenosine deaminase intronic regulatory elements	ADA duodenal enhancer|ADA locus control region|ADA thymic enhancer|adenosine deaminase LCR	20q13.12	20	NC_000020.11	44629004	44651567	plus	0		
9606	Homo sapiens	117134608	0	live	LOC117134608		TMPRSS2 androgen receptor-responsive -13 kb enhancer	TMPRSS2 -13 kb AR-responsive enhancer|TMPRSS2 B39 enhancer|TMPRSS2 E1 enhancer	21q	21	NC_000021.9	41519077	41522416	plus	0		
9606	Homo sapiens	111832671	0	live	LOC111832671		albumin (ALB) 5' regulatory region		4q13	4	NC_000004.12	73397685	73404342	plus	0		
9606	Homo sapiens	107403080	0	live	LOC107403080		origin of replication in ribosomal DNA intergenic spacer			21							
9606	Homo sapiens	106866982	0	live	DES-LCR		desmin locus control region	desmin upstream regulatory region	2q35	2	NC_000002.12	219399709	219418452	plus	0		
9606	Homo sapiens	110386948	0	live	LOC110386948		CYP19A1 promoter I.4	aromatase promoter I.4		15	NC_000015.10	51318523	51319208	plus	0		
9606	Homo sapiens	117600004	0	live	LOC117600004		CTSL promoter region	cathepsin L promoter	9q	9	NC_000009.12	87724325	87727604	plus	0		
9606	Homo sapiens	110351180	0	live	LOC110351180		IBSP 5' regulatory region	bone sialoprotein promoter		4	NC_000004.12	87794552	87799702	plus	0		
9606	Homo sapiens	110599567	0	live	LOC110599567		D7S22 minisatellite repeat instability region	g3 minisatellite repeat instability region	7q36.3	7	NC_000007.14	158150063	158151575	plus	0		
9606	Homo sapiens	110467516	0	live	LOC110467516		CYP1A2 5' regulatory region	CYP1A2 promoter-proximal region		15	NC_000015.10	74744431	74749738	plus	0		
9606	Homo sapiens	106096416	0	live	LOC106096416		KRT18 locus control region		12q13	12	NC_000012.12	52948039	52956706	plus	0		
9606	Homo sapiens	110631417	0	live	LOC110631417		CYP21A2 5' regulatory region			6	NC_000006.12	32033425	32038438	plus	0		
9606	Homo sapiens	106128901	0	live	TH2-LCR		Th2 cytokine locus control region	T helper type 2 cytokine LCR	5q31	5	NC_000005.10	132629263	132642195	plus	0		
9606	Homo sapiens	110599569	0	live	LOC110599569		CYP2C9 promoter			10	NC_000010.11	94934570	94938683	plus	0		
9606	Homo sapiens	107652445	0	live	LOC107652445		meiotic recombination hotspot SHOX	meiotic recombination hotspot PAR1	Xp22.33 and Yp11.3	X	NC_000023.11	633053	636275	plus	0		
9606	Homo sapiens	107652445	0	live	LOC107652445		meiotic recombination hotspot SHOX	meiotic recombination hotspot PAR1	Xp22.33 and Yp11.3	Y	NC_000024.10	633053	636275	plus	0		
9606	Homo sapiens	112637023	0	live	LOC112637023		ABO upstream enhancer		9q	9	NC_000009.12	133278438	133279007	plus	0		
9606	Homo sapiens	111188156	0	live	LOC111188156		CSF1R promoter/intronic regulatory region	CSF1R promoter E2|FIRE (fms intronic regulatory element)		5	NC_000005.10	150081538	150086859	plus	0		
9606	Homo sapiens	117134604	0	live	LOC117134604		TMPRSS2 promoter region	TMPRSS2 regulatory region N	21q	21	NC_000021.9	41507255	41509135	plus	0		
9606	Homo sapiens	117135106	0	live	LOC117135106		TMPRSS2 androgen receptor-responsive -60 kb enhancer	TMPRSS2 -60 kb AR-responsive enhancer	21q	21	NC_000021.9	41568581	41569154	plus	0		
9606	Homo sapiens	108281177	0	live	LOC108281177	SRR1	SOX2 5' regulatory region	SOX2 gene-proximal regulation region|SOX2 regulatory region 1		3	NC_000003.12	181707862	181712186	plus	0		
9606	Homo sapiens	107832851	0	live	LOC107832851		SIRT1 promoter region			10	NC_000010.11	67881967	67884724	plus	0		
9606	Homo sapiens	107988023	0	live	LOC107988023		PTH promoter region			11	NC_000011.10	13495930	13497003	plus	0		
9606	Homo sapiens	117135105	0	live	LOC117135105		TMPRSS2 E4 enhancer		21q	21	NC_000021.9	41535944	41536955	plus	0		
9606	Homo sapiens	110596863	0	live	LOC110596863		MS205 minisatellite repeat instability region	D16S309 minisatellite repeat instability region	16p13.3	16	NC_000016.10	1184546	1186384	plus	0		
9606	Homo sapiens	117135104	0	live	LOC117135104		TMPRSS2 E3 enhancer		21q	21	NC_000021.9	41529122	41531495	plus	0		
9606	Homo sapiens	117134611	0	live	LOC117134611		TMPRSS2 -17 kb enhancer	TMPRSS2 E2 enhancer	21q	21	NC_000021.9	41525423	41527425	plus	0		
9606	Homo sapiens	117134607	0	live	LOC117134607		TMPRSS2 repressive element NBS4	NKX3.1 binding site 4 in TMPRSS2 5' regulatory region	21q	21	NC_000021.9	41518773	41518846	plus	0		
9606	Homo sapiens	117134606	0	live	LOC117134606		TMPRSS2 repressive element NBS2	NKX3.1 binding site 2 in TMPRSS2 5' regulatory region	21q	21	NC_000021.9	41511423	41511482	plus	0		
9606	Homo sapiens	117134605	0	live	LOC117134605		TMPRSS2 repressive element NBS1	NKX3.1 binding site 1 in TMPRSS2 5' regulatory region	21q	21	NC_000021.9	41510416	41510509	plus	0		
9606	Homo sapiens	108783649	0	live	LOC108783649		AMH 5' regulatory region			19	NC_000019.10	2246334	2249332	plus	0		
9606	Homo sapiens	110740340	0	live	LOC110740340		CYP2D6 promoter			22	NC_000022.11	42130816	42132401	plus	0		
9606	Homo sapiens	111811965	0	live	LOC111811965		NF1 (neurofibromin 1) promoter region			17	NC_000017.11	31093605	31095366	plus	0		
9606	Homo sapiens	111674464	0	live	LOC111674464	DHS1	CFTR intron 1 enhancer	181 + 10 kb DNase I hypersensitive site|CFTR DHS1 in intron 1		7	NC_000007.14	117489455	117492403	plus	0		
9606	Homo sapiens	106804613	0	live	LOC106804613		hemoglobin subunit alpha 1 recombination region	HBA1 recombination region	16p13.3	16	NC_000016.10	174618	177541	plus	0		
9606	Homo sapiens	106804612	0	live	LOC106804612		hemoglobin subunit alpha 2 recombination region	HBA2 recombination region	16p13.3	16	NC_000016.10	170362	173729	plus	0		
9606	Homo sapiens	109611593	0	live	LOC109611593		RUNX2 P1 promoter region	Runx2-II promoter		6	NC_000006.12	45327048	45328652	plus	0		
9606	Homo sapiens	107882126	0	live	LOC107882126		TGM1 promoter region			14	NC_000014.9	24262352	24265682	plus	0		
9606	Homo sapiens	108942766	0	live	LOC108942766		NANOG 5' regulatory region			12	NC_000012.12	7785752	7789641	plus	0		
9606	Homo sapiens	109029530	0	live	LOC109029530		HSD3B2 5' regulatory region			1	NC_000001.11	119414077	119415344	plus	0		
9606	Homo sapiens	108178989	0	live	LOC108178989		SRY promoter region			Y	NC_000024.10	2787604	2792604	plus	0		
9606	Homo sapiens	106865369	0	live	LOC106865369		nucleoporin 98kDa recombination region	NUP98 recombination region	11q15.5	11	NC_000011.10	3731687	3753315	plus	0		
9606	Homo sapiens	111255645	0	live	LOC111255645		TNFRSF10A 5' regulatory region			8	NC_000008.11	23224594	23226864	plus	0		
9606	Homo sapiens	105943587	0	live	LOC105943587		proximal CMT1A-REP	proximal Charcot-Marie-Tooth type 1A repeat	17p12	17	NC_000017.11	15567585	15591587	plus	0		
9606	Homo sapiens	105943586	0	live	LOC105943586		distal CMT1A-REP	distal Charcot-Marie-Tooth type 1A repeat		17	NC_000017.11	14170534	14194724	plus	0		
9606	Homo sapiens	108348017	0	live	LOC108348017		PATRR8 recombination region	palindromic AT-rich repeat chromosome 8 recombination region	8q24	8							
9606	Homo sapiens	109609705	0	live	LOC109609705		transcription factor 4 repeat instability region	CTG18.1 repeat instability region|TCF4 repeat instability region	18q21.2	18	NC_000018.10	55586154	55586229	plus	0		
9606	Homo sapiens	106632268	0	live	APOB3'MAR		APOB 3' scaffold/matrix attachment region (S/MAR)	APOB A/T-rich hypervariable region (HVR)	2p	2	NC_000002.12	21000401	21001841	plus	0		
9606	Homo sapiens	111188164	0	live	LOC111188164		ADH1C promoter region			4	NC_000004.12	99352692	99354277	plus	0		
9606	Homo sapiens	108410391	0	live	CNE8	ECR7	CNE8 enhancer downstream of SHOX	conserved non-coding element 8|evolutionarily conserved region 7	Xp22.33; Yp11.3	X	NC_000023.11	850815	851565	plus	0		
9606	Homo sapiens	108410391	0	live	CNE8	ECR7	CNE8 enhancer downstream of SHOX	conserved non-coding element 8|evolutionarily conserved region 7	Xp22.33; Yp11.3	Y	NC_000024.10	850815	851565	plus	0		
9606	Homo sapiens	108383238	0	live	CNE7	ECR1, ECR1/CNE7	CNE7 enhancer downstream of SHOX	conserved non-coding element 7|evolutionarily conserved region 1	Xp22.33; Yp11.3	X	NC_000023.11	819846	820500	plus	0		
9606	Homo sapiens	108383238	0	live	CNE7	ECR1, ECR1/CNE7	CNE7 enhancer downstream of SHOX	conserved non-coding element 7|evolutionarily conserved region 1	Xp22.33; Yp11.3	Y	NC_000024.10	819846	820500	plus	0		
9606	Homo sapiens	108383236	0	live	CNE6		CNE6 enhancer downstream of SHOX	conserved non-coding element 6	Xp22.33; Yp11.3	X	NC_000023.11	805129	805625	plus	0		
9606	Homo sapiens	108383236	0	live	CNE6		CNE6 enhancer downstream of SHOX	conserved non-coding element 6	Xp22.33; Yp11.3	Y	NC_000024.10	805129	805625	plus	0		
9606	Homo sapiens	108383235	0	live	CNE5		CNE5 enhancer downstream of SHOX	conserved non-coding element 5	Xp22.33; Yp11.3	X	NC_000023.11	790089	791115	plus	0		
9606	Homo sapiens	108383235	0	live	CNE5		CNE5 enhancer downstream of SHOX	conserved non-coding element 5	Xp22.33; Yp11.3	Y	NC_000024.10	790089	791115	plus	0		
9606	Homo sapiens	108383234	0	live	CNE4		CNE4 enhancer downstream of SHOX	conserved non-coding element 4	Xp22.33; Yp11.3	X	NC_000023.11	753349	754018	plus	0		
9606	Homo sapiens	108383234	0	live	CNE4		CNE4 enhancer downstream of SHOX	conserved non-coding element 4	Xp22.33; Yp11.3	Y	NC_000024.10	753349	754018	plus	0		
9606	Homo sapiens	111674466	0	live	LOC111674466	DHS-20.5kb, DHS-20.9kb	DNase I hypersensitive site -20.9 kb upstream of CFTR	-20.9 kb CFTR enhancer-blocking element|CFTR looping element II		7	NC_000007.14	117458800	117459399	plus	0		
9606	Homo sapiens	106099065	0	live	LOC106099065		HBG2 recombination region	hemoglobin, gamma G recombination region	11p15.5	11	NC_000011.10	5253987	5255252	plus	0		
9606	Homo sapiens	106099064	0	live	LOC106099064		HBG1 recombination region	hemoglobin, gamma A recombination region	11p15.5	11	NC_000011.10	5249068	5250324	plus	0		
